datetime_start,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,FC_SSITC_TEST,LE,LE_SSITC_TEST,ET,ET_SSITC_TEST,H,H_SSITC_TEST,G,SG,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,WD,WS,WS_MAX,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,SWC_1_1_1,ALB,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,P,file_no,TA_1_2_1,RH_1_2_1,T_DP_1_2_1,TA_1_3_1,RH_1_3_1,T_DP_1_3_1,TA_1_4_1,PBLH_F,TS_2_1_1,SWC_2_1_1
2024-06-25 01:00:00,202406250100,202406250130,449.4886,3.797662,14.33445,0.3824764,9.444691,2.0,45.78888,1.0,0.06704602,0,-66.68664,1.0,-57.15332,-44.5438,29.61884,85.41697,42.73446,32.28034,349.5086,2.895497,6.274674,0.2621725,0.1056268,-0.0681716,-9999.0,20.58313,2.70603,1.149047,0.0,0.7203114,0.0,0.3088093,83.29738,18.1897,56.23083,9.327727,8.845387,19.23015,0.658177,19.21176,-9999.0,-9999.0,-53.53378,-9999.0,-9999.0,347.7571,396.1776,0.0,2.0,17.9131,57.25822,9.31351,17.92421,56.9836,9.281713,17.79216,131.0686,18.53485,-9999.0
2024-06-25 01:30:00,202406250130,202406250200,453.918,6.018033,14.43491,0.4688508,5.943218,-9999.0,17.6369,-9999.0,0.02580284,1,-38.86874,-9999.0,-51.75012,-37.90892,25.48657,1164.817,123.1543,72.88933,344.8933,2.46846,4.826364,0.1713182,0.2237556,-0.02919923,1.0,9.716538,2.407451,0.6256006,0.0,0.5244856,7.450581e-09,0.2120877,83.30362,17.3731,59.60146,9.423003,7.869,18.53428,0.6277637,19.03968,-9999.0,-9999.0,-50.7927,-9999.0,-9999.0,346.0166,391.8335,0.0,2.0,17.21132,60.26162,9.414634,17.04338,60.61892,9.369407,16.9684,119.2571,18.29793,-9999.0
2024-06-25 02:00:00,202406250200,202406250230,447.0461,3.55275,14.08448,0.4219673,9.16484,1.0,59.31636,1.0,0.0868155,0,-79.59972,1.0,-59.57349,-45.03298,27.93235,80.55529,40.29359,30.43737,344.6866,3.332553,7.277379,0.2839444,0.09884723,-0.08008769,1.0,21.99485,3.265625,0.7661225,0.0,0.6734726,1.490116e-08,0.3598837,83.28933,17.76741,56.71584,9.060959,8.675586,18.91787,0.6089751,18.79984,-9999.0,-9999.0,-53.96409,-9999.0,2.227026,345.6697,394.2616,0.0,2.0,17.62488,57.27492,9.053606,17.46879,57.83407,9.075396,17.41285,132.6031,18.03992,-9999.0
2024-06-25 02:30:00,202406250230,202406250300,446.3958,2.881168,13.62056,0.347579,8.569804,1.0,43.46366,1.0,0.06359895,0,-71.91217,1.0,-47.20439,-32.35579,28.40952,81.91924,40.98219,30.95751,348.0454,3.088194,6.731207,0.2751479,0.09906004,-0.07528061,1.0,21.9476,3.024567,0.766343,0.0,0.6525488,1.490116e-08,0.3414283,83.29352,17.49506,55.8247,8.575375,8.694103,18.59247,0.6262115,18.62244,-9999.0,-9999.0,-54.216,-9999.0,1.516548,343.8465,392.9267,0.0,2.0,17.34293,56.40152,8.567569,17.23138,56.79588,8.586984,17.15471,132.5517,17.85029,-9999.0
2024-06-25 03:00:00,202406250300,202406250330,445.4709,2.263806,13.14105,0.2550136,7.185266,1.0,35.37888,1.0,0.05175146,0,-53.74619,1.0,-52.78479,-37.38651,26.50927,76.76706,38.28751,28.91715,356.9943,2.757473,5.011261,0.2113702,0.1628443,-0.0444884,1.0,13.35097,2.726196,0.6462155,0.0,0.4291753,0.0,0.2859958,83.29576,17.13774,55.11971,8.059821,8.559556,18.12868,0.548453,18.43997,-9999.0,0.0,-53.18005,-9999.0,1.602944,342.3824,390.4243,0.0,2.0,16.92452,55.88631,8.048953,16.88363,56.04625,8.070425,16.77881,123.2076,17.6617,-9999.0
2024-06-25 03:30:00,202406250330,202406250400,442.7037,4.67515,12.82507,0.3156482,3.281007,-9999.0,18.96394,-9999.0,0.02774038,2,-36.49701,-9999.0,-53.47112,-37.19668,13.89517,541.2499,62.88126,38.16239,4.484192,1.957885,4.368556,0.1813201,0.1766191,-0.03274809,-9999.0,12.30971,1.706003,0.9090342,0.0,0.770903,7.450581e-09,0.2248295,83.31619,17.17408,53.74883,7.704811,8.985644,18.22687,0.873304,18.25775,-9999.0,0.0,-51.8047,-9999.0,2.597142,341.9163,388.0511,0.0,2.0,17.051,54.22916,7.698483,16.89611,54.8988,7.761984,16.83826,122.0758,17.44579,-9999.0
2024-06-25 04:00:00,202406250400,202406250430,446.5575,3.950717,13.18148,0.4106559,5.836174,-9999.0,21.67052,-9999.0,0.03167197,0,-43.39971,-9999.0,-48.70352,-32.04424,23.79397,983.8152,110.432,66.02057,347.7276,2.73341,5.315077,0.196213,0.1659669,-0.03846503,1.0,13.09978,2.669184,0.6562127,0.0,0.5855762,7.450581e-09,0.2636689,83.3164,16.27386,58.46005,8.102157,7.539931,17.30519,0.6496049,18.11922,-9999.0,0.0,-51.37577,-9999.0,1.121511,340.228,386.8433,0.0,2.0,16.10084,59.1241,8.09331,15.9903,59.29515,8.04962,15.88636,122.9345,17.25987,-9999.0
2024-06-25 04:30:00,202406250430,202406250500,445.9864,3.362229,12.85321,0.4431814,5.738372,1.0,13.66228,-9999.0,0.01996475,1,-50.22949,2.0,-49.07331,-32.30848,23.68868,1109.932,115.6758,68.27531,348.63,2.49868,5.107297,0.1779555,0.2610847,-0.03166708,-9999.0,8.327295,2.35148,0.6794241,0.0,0.8081991,7.450581e-09,0.2626631,83.33486,16.07544,57.70455,7.735301,7.64385,17.1405,0.5829763,17.94688,-9999.0,0.0,-51.34837,-9999.0,1.726885,338.9357,385.6675,0.0,2.0,15.96644,58.13857,7.729708,15.83349,58.66539,7.754003,15.73503,117.7471,17.09801,-9999.0
2024-06-25 05:00:00,202406250500,202406250530,440.9767,1.668126,12.7898,0.3057173,5.672359,1.0,29.87387,1.0,0.04366348,0,-53.40468,1.0,-50.66158,-33.65327,25.42411,73.6425,36.71726,27.7315,358.6007,2.946534,5.970589,0.2140711,0.1566108,-0.04580642,1.0,13.88237,2.908397,0.6291129,0.0,0.4895936,0.0,0.3051856,83.35854,16.28789,56.66876,7.67201,7.935023,17.34593,0.4752958,17.74965,-9999.0,37.09312,-43.32465,9.713291,6.296772,339.4856,386.2268,0.0,2.0,16.17678,57.09604,7.666327,16.04061,57.54829,7.667996,16.01204,123.7852,16.91706,-9999.0
2024-06-25 05:30:00,202406250530,202406250600,438.9117,1.76963,12.67903,0.4736654,3.660953,1.0,57.1962,1.0,0.08364645,0,-61.31857,1.0,-37.67763,-20.95342,27.17946,78.44624,39.21444,29.62147,352.1926,3.182139,5.918366,0.2539133,0.1052069,-0.06433923,1.0,20.66528,3.141621,0.7408717,0.0,0.5194241,1.490116e-08,0.3330027,83.39716,16.92742,54.00807,7.551972,8.684836,17.89223,0.5043903,17.60727,-9999.0,32.9087,4.21643,75.47924,23.84971,343.3803,390.7935,0.0,2.0,16.73092,54.70911,7.541971,16.64857,55.26493,7.634261,16.59439,131.1579,16.77964,20.16698
